year,month,longest,shortest
2024.0,8.0,0 days 11:15:00,0 days 08:00:00
2024.0,7.0,1 days 08:00:00,0 days 08:00:00
2024.0,6.0,0 days 18:00:00,0 days 08:00:00
2024.0,5.0,0 days 08:00:00,0 days 08:00:00
2024.0,4.0,0 days 08:00:00,0 days 08:00:00
2024.0,3.0,0 days 08:00:00,0 days 08:00:00
2024.0,2.0,0 days 08:00:00,0 days 08:00:00
2024.0,1.0,0 days 08:00:00,0 days 08:00:00
2023.0,12.0,0 days 08:00:00,0 days 08:00:00
2023.0,11.0,0 days 09:00:00,0 days 02:30:00
2023.0,10.0,0 days 09:00:00,0 days 01:00:00
2023.0,9.0,0 days 08:00:00,0 days 08:00:00
2023.0,8.0,0 days 08:00:00,0 days 08:00:00
2023.0,7.0,0 days 08:00:00,0 days 08:00:00
2023.0,6.0,0 days 08:00:00,0 days 08:00:00
2023.0,5.0,0 days 08:00:00,0 days 03:00:00
2023.0,4.0,1 days 10:30:00,0 days 03:00:00
2023.0,1.0,0 days 08:00:00,0 days 08:00:00
2022.0,12.0,0 days 09:15:00,0 days 08:00:00
2022.0,10.0,0 days 10:00:00,0 days 02:00:00
