index,date,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt,anomaly
176,2011-01-08,spring,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,95,-1
178,2011-01-08,spring,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,76,-1
179,2011-01-08,spring,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,69,-1
185,2011-01-08,spring,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,22,-1
187,2011-01-09,spring,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,12,-1
188,2011-01-09,spring,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,11,-1
189,2011-01-09,spring,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,4,-1
195,2011-01-09,spring,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,19,-1
197,2011-01-09,spring,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,49,-1
266,2011-01-12,spring,0,1,12,0,3,1,1,0.2,0.1515,0.47,0.5821,55,-1
272,2011-01-12,spring,0,1,18,0,3,1,1,0.2,0.1515,0.47,0.5224,137,-1
468,2011-01-21,spring,0,1,12,0,5,1,1,0.22,0.1818,0.27,0.5821,78,-1
469,2011-01-21,spring,0,1,13,0,5,1,1,0.2,0.1515,0.21,0.5821,73,-1
470,2011-01-21,spring,0,1,14,0,5,1,1,0.2,0.1515,0.25,0.5224,62,-1
471,2011-01-21,spring,0,1,15,0,5,1,1,0.16,0.1212,0.26,0.4478,65,-1
472,2011-01-21,spring,0,1,16,0,5,1,1,0.16,0.1364,0.26,0.3582,97,-1
476,2011-01-21,spring,0,1,20,0,5,1,1,0.1,0.0758,0.33,0.4179,53,-1
492,2011-01-22,spring,0,1,13,0,6,0,1,0.08,0.1667,0.35,0.0,84,-1
494,2011-01-22,spring,0,1,15,0,6,0,1,0.12,0.1515,0.28,0.0,103,-1
496,2011-01-22,spring,0,1,17,0,6,0,1,0.12,0.197,0.28,0.0,67,-1
